Missing Docstring for Class 'SubSupportBase', in module 'subsupport_abstract', with path 'antipetros_discordbot/abstracts/subsupport_abstract.py'

Missing Docstring for Class 'AddedAliasChangeEvent', in module 'aux_config_cog', with path 'antipetros_discordbot/auxiliary_classes/for_cogs/aux_config_cog.py'

Missing Docstring for Class 'GiveAwayEvent', in module 'aux_give_away_cog', with path 'antipetros_discordbot/auxiliary_classes/for_cogs/aux_give_away_cog.py'

Missing Docstring for Class 'BotSupporter', in module 'bot_supporter', with path 'antipetros_discordbot/bot_support/bot_supporter.py'

Missing Docstring for Class 'AntistasiInformer', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'

Missing Docstring for Class 'ChannelStatistician', in module 'chan_statistician', with path 'antipetros_discordbot/bot_support/sub_support/chan_statistician.py'

Missing Docstring for Class 'ColorKeeper', in module 'color_keeper', with path 'antipetros_discordbot/bot_support/sub_support/color_keeper.py'

Missing Docstring for Class 'CommandStatistician', in module 'command_statistician', with path 'antipetros_discordbot/bot_support/sub_support/command_statistician.py'

Missing Docstring for Class 'ErrorHandler', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for Class 'EssentialCommandsKeeper', in module 'essential_commands_keeper', with path 'antipetros_discordbot/bot_support/sub_support/essential_commands_keeper.py'

Missing Docstring for Class 'RegexKeeper', in module 'regex_keeper', with path 'antipetros_discordbot/bot_support/sub_support/regex_keeper.py'

Missing Docstring for Class 'TimeKeeper', in module 'time_keeper', with path 'antipetros_discordbot/bot_support/sub_support/time_keeper.py'

Missing Docstring for Class 'BlacklistedUserItem', in module 'blacklisted_user_item', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/blacklisted_user_item.py'

Missing Docstring for Class 'CommandStatDict', in module 'command_stats_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/command_stats_dict.py'

Missing Docstring for Class 'CoolDownDict', in module 'cooldown_dict', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/cooldown_dict.py'

Missing Docstring for Class 'EmbedFactory', in module 'embed_factory', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/embed_factory.py'

Missing Docstring for Class 'EmbedAuthorSchema', in module 'embed_schema', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/embed_schema.py'

Missing Docstring for Class 'EmbedFieldSchema', in module 'embed_schema', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/embed_schema.py'

Missing Docstring for Class 'EmbedFooterSchema', in module 'embed_schema', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/embed_schema.py'

Missing Docstring for Class 'EmbedPrototypeSchema', in module 'embed_schema', with path 'antipetros_discordbot/bot_support/sub_support/sub_support_helper/embed_schema.py'

Missing Docstring for Class 'AntiPetrosBot', in module 'antipetros_bot', with path 'antipetros_discordbot/engine/antipetros_bot.py'

Missing Docstring for Class 'DateOnlyConverter', in module 'converters', with path 'antipetros_discordbot/utility/converters.py'

Missing Docstring for Class 'DateTimeFullConverter', in module 'converters', with path 'antipetros_discordbot/utility/converters.py'

Missing Docstring for Class 'FlagArg', in module 'converters', with path 'antipetros_discordbot/utility/converters.py'

Missing Docstring for Class 'LanguageConverter', in module 'converters', with path 'antipetros_discordbot/utility/converters.py'

Missing Docstring for Class 'AntiPetrosBaseError', in module 'exceptions', with path 'antipetros_discordbot/utility/exceptions.py'

Missing Docstring for Class 'BaseExtendedCommandError', in module 'exceptions', with path 'antipetros_discordbot/utility/exceptions.py'

Missing Docstring for Class 'CogNameNotCamelCaseError', in module 'exceptions', with path 'antipetros_discordbot/utility/exceptions.py'

Missing Docstring for Class 'DuplicateNameError', in module 'exceptions', with path 'antipetros_discordbot/utility/exceptions.py'

Missing Docstring for Class 'FuzzyMatchError', in module 'exceptions', with path 'antipetros_discordbot/utility/exceptions.py'

Missing Docstring for Class 'IsNotDMChannelError', in module 'exceptions', with path 'antipetros_discordbot/utility/exceptions.py'

Missing Docstring for Class 'IsNotTextChannelError', in module 'exceptions', with path 'antipetros_discordbot/utility/exceptions.py'

Missing Docstring for Class 'MissingAttachmentError', in module 'exceptions', with path 'antipetros_discordbot/utility/exceptions.py'

Missing Docstring for Class 'MissingNeededAttributeError', in module 'exceptions', with path 'antipetros_discordbot/utility/exceptions.py'

Missing Docstring for Class 'NotAllowedChannelError', in module 'exceptions', with path 'antipetros_discordbot/utility/exceptions.py'

Missing Docstring for Class 'NotNecessaryDmId', in module 'exceptions', with path 'antipetros_discordbot/utility/exceptions.py'

Missing Docstring for Class 'NotNecessaryRole', in module 'exceptions', with path 'antipetros_discordbot/utility/exceptions.py'

Missing Docstring for Class 'FileSystemWalkerItem', in module 'file_system_walk', with path 'antipetros_discordbot/utility/file_system_walk.py'

Missing Docstring for Class 'CogConfigReadOnly', in module 'misc', with path 'antipetros_discordbot/utility/misc.py'

Missing Docstring for Class 'AioSuggestionDataStorageSQLite', in module 'sqldata_storager', with path 'antipetros_discordbot/utility/sqldata_storager.py'

Missing Docstring for Class 'AntiPetrosMarkdownBase', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for Class 'BlockQuote', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for Class 'Bold', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for Class 'CodeBlock', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for Class 'Cursive', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for Class 'LineCode', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for Class 'UnderScore', in module 'general_markdown_helper', with path 'antipetros_discordbot/utility/discord_markdown_helper/general_markdown_helper.py'

Missing Docstring for Class 'AioGidSqliteActionBase', in module 'db_action_base', with path 'antipetros_discordbot/utility/gidsql/db_action_base.py'

Missing Docstring for Class 'GidSqliteActionBase', in module 'db_action_base', with path 'antipetros_discordbot/utility/gidsql/db_action_base.py'

Missing Docstring for Class 'AioGidSqliteReader', in module 'db_reader', with path 'antipetros_discordbot/utility/gidsql/db_reader.py'

Missing Docstring for Class 'GidSqliteReader', in module 'db_reader', with path 'antipetros_discordbot/utility/gidsql/db_reader.py'

Missing Docstring for Class 'AioGidSQLiteWriter', in module 'db_writer', with path 'antipetros_discordbot/utility/gidsql/db_writer.py'

Missing Docstring for Class 'GidSQLiteWriter', in module 'db_writer', with path 'antipetros_discordbot/utility/gidsql/db_writer.py'

Missing Docstring for Class 'GidSqliteColumnAlreadySetError', in module 'exceptions', with path 'antipetros_discordbot/utility/gidsql/exceptions.py'

Missing Docstring for Class 'GidSqliteError', in module 'exceptions', with path 'antipetros_discordbot/utility/gidsql/exceptions.py'

Missing Docstring for Class 'GidSqliteNoTableNameError', in module 'exceptions', with path 'antipetros_discordbot/utility/gidsql/exceptions.py'

Missing Docstring for Class 'GidSqliteSemiColonError', in module 'exceptions', with path 'antipetros_discordbot/utility/gidsql/exceptions.py'

Missing Docstring for Class 'AioGidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for Class 'GidSqliteDatabase', in module 'facade', with path 'antipetros_discordbot/utility/gidsql/facade.py'

Missing Docstring for Class 'GidSqliteInserter', in module 'phrasers', with path 'antipetros_discordbot/utility/gidsql/phrasers.py'

Missing Docstring for Class 'GidSqliteScriptProvider', in module 'script_handling', with path 'antipetros_discordbot/utility/gidsql/script_handling.py'

Missing Docstring for Class 'GidSqlitePhraser', in module 'sql_phraser', with path 'antipetros_discordbot/utility/gidsql/sql_phraser.py'

Missing Docstring for Class 'BaseSchema', in module 'base_sql_schema', with path 'antipetros_discordbot/utility/gidsql/creators/base_sql_schema.py'

