Missing Docstring for function 'get_class', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'

Missing Docstring for function 'get_class', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for function 'get_class', in module 'chan_statistician', with path 'antipetros_discordbot/bot_support/sub_support/chan_statistician.py'

Missing Docstring for function 'get_class', in module 'color_keeper', with path 'antipetros_discordbot/bot_support/sub_support/color_keeper.py'

Missing Docstring for function 'get_class', in module 'command_statistician', with path 'antipetros_discordbot/bot_support/sub_support/command_statistician.py'

Missing Docstring for function 'get_class', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for function 'get_class', in module 'error_handler', with path 'antipetros_discordbot/bot_support/sub_support/error_handler.py'

Missing Docstring for function 'get_class', in module 'essential_commands_keeper', with path 'antipetros_discordbot/bot_support/sub_support/essential_commands_keeper.py'

Missing Docstring for function 'get_class', in module 'regex_keeper', with path 'antipetros_discordbot/bot_support/sub_support/regex_keeper.py'

Missing Docstring for function 'get_class', in module 'time_keeper', with path 'antipetros_discordbot/bot_support/sub_support/time_keeper.py'

Missing Docstring for function '_get_class_from_module', in module '__init__', with path 'antipetros_discordbot/bot_support/sub_support/__init__.py'

Missing Docstring for function 'collect_sub_support_classes', in module '__init__', with path 'antipetros_discordbot/bot_support/sub_support/__init__.py'

Missing Docstring for function 'load_all_modules_from_dir', in module '__init__', with path 'antipetros_discordbot/bot_support/sub_support/__init__.py'

Missing Docstring for function 'get_aliases', in module '__init__', with path 'antipetros_discordbot/cogs/__init__.py'

Missing Docstring for function 'get_brief', in module '__init__', with path 'antipetros_discordbot/cogs/__init__.py'

Missing Docstring for function 'get_description', in module '__init__', with path 'antipetros_discordbot/cogs/__init__.py'

Missing Docstring for function 'get_doc_data', in module '__init__', with path 'antipetros_discordbot/cogs/__init__.py'

Missing Docstring for function 'get_help', in module '__init__', with path 'antipetros_discordbot/cogs/__init__.py'

Missing Docstring for function 'get_usage', in module '__init__', with path 'antipetros_discordbot/cogs/__init__.py'

Missing Docstring for function 'user_not_blacklisted', in module 'global_checks', with path 'antipetros_discordbot/engine/global_checks.py'

Missing Docstring for function 'when_mentioned_or_roles_or', in module 'special_prefix', with path 'antipetros_discordbot/engine/special_prefix.py'

Missing Docstring for function 'allowed_channel_and_allowed_role_2', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'allowed_requester', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'command_enabled_checker', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'has_attachments', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'in_allowed_channels', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'is_not_giddi', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'log_invoker', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'mod_func_all_in_int', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'only_dm_only_allowed_id', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'owner_or_admin', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'purge_check_always_false', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'purge_check_always_true', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'purge_check_contains', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'purge_check_from_user', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'purge_check_is_bot', in module 'checks', with path 'antipetros_discordbot/utility/checks.py'

Missing Docstring for function 'decrypt_db', in module 'crypt', with path 'antipetros_discordbot/utility/crypt.py'

Missing Docstring for function 'decrypt_file', in module 'crypt', with path 'antipetros_discordbot/utility/crypt.py'

