Missing Docstring for method 'if_ready',in Class 'SubSupportBase', in module 'subsupport_abstract', with path 'antipetros_discordbot/abstracts/subsupport_abstract.py'

Missing Docstring for method 'retire',in Class 'SubSupportBase', in module 'subsupport_abstract', with path 'antipetros_discordbot/abstracts/subsupport_abstract.py'

Missing Docstring for method 'update',in Class 'SubSupportBase', in module 'subsupport_abstract', with path 'antipetros_discordbot/abstracts/subsupport_abstract.py'

Missing Docstring for method 'as_embed_message',in Class 'AddedAliasChangeEvent', in module 'aux_config_cog', with path 'antipetros_discordbot/auxiliary_classes/for_cogs/aux_config_cog.py'

Missing Docstring for method 'check_convert',in Class 'GiveAwayEvent', in module 'aux_give_away_cog', with path 'antipetros_discordbot/auxiliary_classes/for_cogs/aux_give_away_cog.py'

Missing Docstring for method 'convert_author',in Class 'GiveAwayEvent', in module 'aux_give_away_cog', with path 'antipetros_discordbot/auxiliary_classes/for_cogs/aux_give_away_cog.py'

Missing Docstring for method 'convert_channel',in Class 'GiveAwayEvent', in module 'aux_give_away_cog', with path 'antipetros_discordbot/auxiliary_classes/for_cogs/aux_give_away_cog.py'

Missing Docstring for method 'convert_datetime',in Class 'GiveAwayEvent', in module 'aux_give_away_cog', with path 'antipetros_discordbot/auxiliary_classes/for_cogs/aux_give_away_cog.py'

Missing Docstring for method 'convert_message',in Class 'GiveAwayEvent', in module 'aux_give_away_cog', with path 'antipetros_discordbot/auxiliary_classes/for_cogs/aux_give_away_cog.py'

Missing Docstring for method 'to_dict',in Class 'GiveAwayEvent', in module 'aux_give_away_cog', with path 'antipetros_discordbot/auxiliary_classes/for_cogs/aux_give_away_cog.py'

Missing Docstring for method 'find_available_subsupport_classes',in Class 'BotSupporter', in module 'bot_supporter', with path 'antipetros_discordbot/bot_support/bot_supporter.py'

Missing Docstring for method 'log_attribute_not_found',in Class 'BotSupporter', in module 'bot_supporter', with path 'antipetros_discordbot/bot_support/bot_supporter.py'

Missing Docstring for method 'really_has_attribute',in Class 'BotSupporter', in module 'bot_supporter', with path 'antipetros_discordbot/bot_support/bot_supporter.py'

Missing Docstring for method 'recruit_subsupports',in Class 'BotSupporter', in module 'bot_supporter', with path 'antipetros_discordbot/bot_support/bot_supporter.py'

Missing Docstring for method 'retire_subsupport',in Class 'BotSupporter', in module 'bot_supporter', with path 'antipetros_discordbot/bot_support/bot_supporter.py'

Missing Docstring for method 'to_all_subsupports',in Class 'BotSupporter', in module 'bot_supporter', with path 'antipetros_discordbot/bot_support/bot_supporter.py'

Missing Docstring for method 'all_members_with_role',in Class 'AntistasiInformer', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'

Missing Docstring for method 'channel_from_id',in Class 'AntistasiInformer', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'

Missing Docstring for method 'channel_from_name',in Class 'AntistasiInformer', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'

Missing Docstring for method 'if_ready',in Class 'AntistasiInformer', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'

Missing Docstring for method 'member_by_name',in Class 'AntistasiInformer', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'

Missing Docstring for method 'retire',in Class 'AntistasiInformer', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'

Missing Docstring for method 'retrieve_antistasi_member',in Class 'AntistasiInformer', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'

Missing Docstring for method 'role_from_string',in Class 'AntistasiInformer', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'

Missing Docstring for method 'update',in Class 'AntistasiInformer', in module 'antistasi_informer', with path 'antipetros_discordbot/bot_support/sub_support/antistasi_informer.py'

Missing Docstring for method '_ensure_blacklist_file_exists',in Class 'BlacklistWarden', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for method 'blacklist_user',in Class 'BlacklistWarden', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for method 'command_call_blocked',in Class 'BlacklistWarden', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for method 'generate_blacklisted_user_hash',in Class 'BlacklistWarden', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for method 'get_blacklisted_user',in Class 'BlacklistWarden', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for method 'if_ready',in Class 'BlacklistWarden', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for method 'is_blacklisted',in Class 'BlacklistWarden', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for method 'notify',in Class 'BlacklistWarden', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for method 'retire',in Class 'BlacklistWarden', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for method 'save',in Class 'BlacklistWarden', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for method 'unblacklist_user',in Class 'BlacklistWarden', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for method 'update',in Class 'BlacklistWarden', in module 'blacklist_warden', with path 'antipetros_discordbot/bot_support/sub_support/blacklist_warden.py'

Missing Docstring for method 'if_ready',in Class 'ChannelStatistician', in module 'chan_statistician', with path 'antipetros_discordbot/bot_support/sub_support/chan_statistician.py'

Missing Docstring for method 'make_heat_map',in Class 'ChannelStatistician', in module 'chan_statistician', with path 'antipetros_discordbot/bot_support/sub_support/chan_statistician.py'

Missing Docstring for method 'record_channel_usage',in Class 'ChannelStatistician', in module 'chan_statistician', with path 'antipetros_discordbot/bot_support/sub_support/chan_statistician.py'

Missing Docstring for method 'retire',in Class 'ChannelStatistician', in module 'chan_statistician', with path 'antipetros_discordbot/bot_support/sub_support/chan_statistician.py'

Missing Docstring for method 'update',in Class 'ChannelStatistician', in module 'chan_statistician', with path 'antipetros_discordbot/bot_support/sub_support/chan_statistician.py'

Missing Docstring for method '_basic_colors_to_attribute',in Class 'ColorKeeper', in module 'color_keeper', with path 'antipetros_discordbot/bot_support/sub_support/color_keeper.py'

Missing Docstring for method '_make_color_items',in Class 'ColorKeeper', in module 'color_keeper', with path 'antipetros_discordbot/bot_support/sub_support/color_keeper.py'

Missing Docstring for method 'color',in Class 'ColorKeeper', in module 'color_keeper', with path 'antipetros_discordbot/bot_support/sub_support/color_keeper.py'

Missing Docstring for method 'dict_to_color_item',in Class 'ColorKeeper', in module 'color_keeper', with path 'antipetros_discordbot/bot_support/sub_support/color_keeper.py'

Missing Docstring for method 'get_discord_color',in Class 'ColorKeeper', in module 'color_keeper', with path 'antipetros_discordbot/bot_support/sub_support/color_keeper.py'

Missing Docstring for method 'if_ready',in Class 'ColorKeeper', in module 'color_keeper', with path 'antipetros_discordbot/bot_support/sub_support/color_keeper.py'

Missing Docstring for method 'retire',in Class 'ColorKeeper', in module 'color_keeper', with path 'antipetros_discordbot/bot_support/sub_support/color_keeper.py'

Missing Docstring for method 'update',in Class 'ColorKeeper', in module 'color_keeper', with path 'antipetros_discordbot/bot_support/sub_support/color_keeper.py'

Missing Docstring for method 'after_action',in Class 'CommandStatistician', in module 'command_statistician', with path 'antipetros_discordbot/bot_support/sub_support/command_statistician.py'

Missing Docstring for method 'cog_name_list',in Class 'CommandStatistician', in module 'command_statistician', with path 'antipetros_discordbot/bot_support/sub_support/command_statistician.py'

Missing Docstring for method 'command_name_list',in Class 'CommandStatistician', in module 'command_statistician', with path 'antipetros_discordbot/bot_support/sub_support/command_statistician.py'

Missing Docstring for method 'get_todays_invoke_data',in Class 'CommandStatistician', in module 'command_statistician', with path 'antipetros_discordbot/bot_support/sub_support/command_statistician.py'

Missing Docstring for method 'if_ready',in Class 'CommandStatistician', in module 'command_statistician', with path 'antipetros_discordbot/bot_support/sub_support/command_statistician.py'

Missing Docstring for method 'retire',in Class 'CommandStatistician', in module 'command_statistician', with path 'antipetros_discordbot/bot_support/sub_support/command_statistician.py'

Missing Docstring for method 'update',in Class 'CommandStatistician', in module 'command_statistician', with path 'antipetros_discordbot/bot_support/sub_support/command_statistician.py'

Missing Docstring for method '_ensure_folder_exists',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method '_fix_field_item',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method '_paginatedfields_generic_embed_helper',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method '_size_of_field',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method '_validate_color',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method '_validate_image',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method '_validate_timestamp',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method '_validate_type',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method 'collect_embed_build_recipes',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method 'if_ready',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method 'make_embed',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method 'make_generic_embed',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method 'make_paginatedfields_generic_embed',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

Missing Docstring for method 'make_static_embed',in Class 'EmbedBuilder', in module 'embed_builder', with path 'antipetros_discordbot/bot_support/sub_support/embed_builder.py'

